%
% vkf.csv - 
%
% (c) 2023 Prof Dr Andreas Müller, OST
%
% Format: week,chapter,number-1,filename
% Woche 1
1,2,7,20000008
1,2,8,20000009
1,2,9,20000010
% Woche 2
2,3,27,30000028
2,3,28,30000029
2,3,29,30000030
2,3,30,30000031
2,3,31,30000032
% Woche 3
3,4,29,40000030
3,4,30,40000031
3,4,31,40000032
% Woche 4
4,5,27,50000028
4,5,28,50000029
4,5,29,50000030
4,5,30,50000031
% Woche 5
5,6,5,60000006
5,6,6,60000007
5,6,7,60000008
5,6,8,60000009
5,7,11,70000012
% Woche 6
6,7,12,70000013
6,7,13,70000014
% Woche 7
